"","year","ward","cost","category","program","description"
"11286",2017,20,34586.16,"Streets & Transportation","Street Resurfacing Menu ","ON S PRINCETON AVE FROM W 61ST ST (6100 S) TO W 61ST PL (6140 S)"
"11287",2017,20,11231.83,"Streets & Transportation","Street Resurfacing Menu ","ON W 56TH ST FROM S LOWE AVE (630 W) TO S UNION AVE (700 W)"
"11288",2017,20,19741.39,"Streets & Transportation","Street Resurfacing Menu ","ON S PEORIA ST FROM W 49TH PL (4940 S) TO W 50TH ST (5000 S)"
"11289",2017,20,62786.24,"Streets & Transportation","Street Resurfacing Menu ","ON S UNION AVE FROM W 53RD ST (5300 S) TO W 54TH ST (5400 S)"
"11290",2017,20,43704.43,"Streets & Transportation","Street Resurfacing Menu ","ON S DREXEL AVE FROM E 62ND ST (6200 S) TO E 63RD ST (6300 S)"
"11291",2017,20,47588.82,"Streets & Transportation","Street Resurfacing Menu ","(6600 S)"
"11292",2017,20,59054.39,"Streets & Transportation","Street Resurfacing Menu ","W)"
"11293",2017,20,31031,"Streets & Transportation","Street Resurfacing Menu ","(500 W)"
"11294",2017,20,70264.45,"Streets & Transportation","Street Resurfacing Menu ","ON S LOWE AVE FROM W 64TH ST (6400 S) TO W 65TH ST (6500 S)"
"11295",2017,20,29196.4,"Streets & Transportation","Street Resurfacing Menu ","(6700 S)"
"11296",2017,20,41725.2,"Streets & Transportation","Street Resurfacing Menu ","ON S GREEN ST FROM 5250 S GREEN ST S TO W 52ND ST (5200 S)"
"11297",2017,20,59715.77,"Streets & Transportation","Street Resurfacing Menu ","ON W 52ND ST FROM S HALSTED ST (800 W) TO S PEORIA ST (900 W)"
"11298",2017,20,46482.85,"Streets & Transportation","Street Resurfacing Menu ","ON S DREXEL AVE FROM E 61ST ST (6100 S) TO E 62ND ST (6200 S)"
"11299",2017,20,16976.78,"Streets & Transportation","Street Resurfacing Menu ","W)"
"11300",2017,20,1850,"Streets & Transportation","Street Speed Hump Menu ","W)"
"11301",2017,20,5377.92,"Streets & Transportation","Traffic Signal- Two Way Conversion","1600-1612 W 48TH ST"
"11302",2017,20,41182,"Beautification","Viaduct Improvement Menu ","S WENTWORTH AVE & W 63RD ST"
"11303",2017,20,21416.06,"Beautification","Viaduct Improvement Menu ","S DORCHESTER AVE & E 65TH ST"
"11304",2017,21,8936.57,"Streets & Transportation","Curb & Gutter Menu (2018)","515 W 97TH ST"
"11305",2017,21,10000,"Beautification","50/50 Neighborhood Arts Program","$10,000.00"
"11306",2017,21,23133.54,"Streets & Transportation","Sidewalk Menu ","8234 S LOOMIS BLVD"
