"","description","costA","costB","ward","program","year","cost"
"128","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E) ","400.00",NA,"2","Traffic Equipment",2012,400
"129","ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST 4.00 ","2,750.00",NA,"2","Traffic Equipment",2012,2750
"130","ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST ","200.00",NA,"2","Traffic Equipment",2012,200
"131","ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT ","25,650.00",NA,"2","Traffic Equipment",2012,25650
"132","ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S ","11,000.00",NA,"2","Traffic Equipment",2012,11000
"133","W ROOSEVELT RD & S WOOD ST ","3,500.00",NA,"2","Traffic Equipment",2012,3500
"134","ON STATE FROM W CONGRESS PW (500 S) TO W HARRISON ","8,000.00",NA,"2","Traffic Equipment",2012,8000
"135","ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E ","19,500.00",NA,"2","Traffic Equipment",2012,19500
"136","ON ASHLAND FROM W MADISON ST (0 N) TO W ","5,450.00",NA,"2","Traffic Equipment",2012,5450
"137","W ROOSEVELT RD & S PAULINA ST ","3,500.00",NA,"2","Traffic Equipment",2012,3500
"138","W ROOSEVELT RD & S ASHLAND W AVE ","3,500.00",NA,"2","Traffic Equipment",2012,3500
"139","ON JEFFERSON FROM W MADISON ST (0 N) TO W ADAMS ST ","1,550.00",NA,"2","Traffic Equipment",2012,1550
"140","ON S MICHIGAN AVE FROM 4944 S TO E 49 ST (4900 S) 1.00 ","8,666.00",NA,"3","Alley Apron Menu",2012,8666
"141","1503 S State ","216,149.00",NA,"3","Concrete Alley Menu",2012,216149
"142","ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AV (44 0.00 ","51,363.00",NA,"3","Curb & Gutter Menu",2012,51363
"143","ON S PRINCETON AVE FROM W 48TH PL (4850 S) TO W 50TH 0.00 ","23,977.00",NA,"3","Curb & Gutter Menu",2012,23977
"144","S STATE ST & W 23RD ST 1.00 ","550.00",NA,"3","In-Road ""State Law Stop",2012,550
"145","4501-33 & 4524-50 S McDowell, & 1400 W 46th St Tree planting ","14,166.00",NA,"3","Miscellaneous Other",2012,14166
"146","4434 S DR MARTIN LUTHER KING JR DR 2.00 ","413.00",NA,"3","Miscellaneous Other",2012,413
"147","4700 S LASALLE ST Decorative Plaza Planter Fencing ","3,370.00",NA,"3","Miscellaneous Other",2012,3370
"148","E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets ","680.00",NA,"3","Miscellaneous Other",2012,680
"149","8 decorative garbage cans decorative garbage cans ","11,450.00",NA,"3","Miscellaneous Other",2012,11450
"150","W 46TH PL & S SHIELDS AVE 0.00 ","300.00",NA,"3","Pavement Markings",2012,300
"151","ON S CALUMET AVE FROM E 46TH ST (4600 S) TO E 47TH ST 0.00 ","11,175.00",NA,"3","Sidewalk Menu",2012,11175
"152","ON W SWANN ST FROM S PRINCETON AV (300 W) TO S 0.00 ","643.00",NA,"3","Sidewalk Menu",2012,643
"153","ON DR MARTIN LUTHER KING JR DR FROM E 44 ST (4400 S) 0.00 ","8,979.00",NA,"3","Sidewalk Menu",2012,8979
